Date,traffic,V1&V2,V3,V4,V5&V6&V7
2014-09-01,1398,908,265,97,204
2014-09-02,1304,847,247,91,191
2014-09-03,1008,655,191,70,147
2014-09-04,1409,915,267,98,206
2014-09-05,968,629,183,67,141
2014-09-06,1491,969,283,104,218
2014-09-07,1323,859,251,92,193
2014-09-08,1074,698,204,75,157
2014-09-09,1324,860,251,92,193
2014-09-10,1634,1062,310,114,239
2014-09-11,1549,1006,294,108,226
2014-09-12,1341,871,254,93,196
2014-09-13,1634,1062,310,114,239
2014-09-14,1497,973,284,104,219
2014-09-15,815,529,154,57,119
2014-09-16,984,639,186,68,144
2014-09-17,1514,984,287,105,221
2014-09-18,1600,1040,304,112,234
2014-09-19,1018,661,193,71,149
2014-09-20,970,630,184,67,142
2014-09-21,839,545,159,58,122
2014-09-22,1470,955,279,102,215
2014-09-23,1734,1127,329,121,254
2014-09-24,855,555,162,59,125
2014-09-25,1796,1167,341,125,263
2014-09-26,1078,700,204,75,157
2014-09-27,915,594,173,64,134
2014-09-28,1792,1164,340,125,262
2014-09-29,1659,1078,315,116,243
2014-09-30,1063,690,201,74,155
2014-10-01,9029,5868,1715,632,1322
2014-10-02,7189,4672,1365,503,1053
2014-10-03,7349,4776,1396,514,1076
2014-10-04,9924,6450,1885,694,1453
2014-10-05,9617,6251,1827,673,1408
2014-10-06,7142,4642,1356,499,1046
2014-10-07,8495,5521,1614,594,1244
2014-10-08,9048,5881,1719,633,1325
2014-10-09,9853,6404,1872,689,1443
2014-10-10,9754,6340,1853,682,1428
2014-10-11,8352,5428,1586,584,1223
2014-10-12,8252,5363,1567,577,1208
2014-10-13,9554,6210,1815,668,1399
2014-10-14,9069,5894,1723,634,1328
2014-10-15,8884,5774,1687,621,1301
2014-10-16,9806,6373,1863,686,1436
2014-10-17,9386,6100,1783,657,1375
2014-10-18,10204,6632,1938,714,1494
2014-10-19,10158,6602,1930,711,1488
2014-10-20,7697,5003,1462,538,1127
2014-10-21,10331,6715,1962,723,1513
2014-10-22,8924,5800,1695,624,1307
2014-10-23,9858,6407,1873,690,1444
2014-10-24,8958,5822,1702,627,1312
2014-10-25,8970,5830,1704,627,1314
2014-10-26,7558,4912,1436,529,1107
2014-10-27,10153,6599,1929,710,1487
2014-10-28,7445,4839,1414,521,1090
2014-10-29,8676,5639,1648,607,1271
2014-10-30,9429,6128,1791,660,1381
2014-10-31,7659,4978,1455,536,1122
2014-11-01,10045,6529,1908,703,1471
2014-11-02,10762,6995,2044,753,1576
2014-11-03,8903,5786,1691,623,1304
2014-11-04,10824,7035,2056,757,1585
2014-11-05,8465,5502,1608,592,1240
2014-11-06,10627,6907,2019,743,1556
2014-11-07,8422,5474,1600,589,1233
2014-11-08,10151,6598,1928,710,1487
2014-11-09,9199,5979,1747,643,1347
2014-11-10,8129,5283,1544,569,1190
2014-11-11,10782,7008,2048,754,1579
2014-11-12,8620,5603,1637,603,1262
2014-11-13,11272,7326,2141,789,1651
2014-11-14,9560,6214,1816,669,1400
2014-11-15,9689,6297,1840,678,1419
2014-11-16,10163,6605,1930,711,1488
2014-11-17,9464,6151,1798,662,1386
2014-11-18,9125,5931,1733,638,1336
2014-11-19,10340,6721,1964,723,1514
2014-11-20,9150,5947,1738,640,1340
2014-11-21,9890,6428,1879,692,1448
2014-11-22,9635,6262,1830,674,1411
2014-11-23,9905,6438,1881,693,1451
2014-11-24,9778,6355,1857,684,1432
2014-11-25,10208,6635,1939,714,1495
2014-11-26,9079,5901,1725,635,1330
2014-11-27,9230,5999,1753,646,1352
2014-11-28,10208,6635,1939,714,1495
2014-11-29,10092,6559,1917,706,1478
2014-11-30,8688,5647,1650,608,1272
2014-12-01,9114,5924,1731,637,1335
2014-12-02,9083,5903,1725,635,1330
2014-12-03,9473,6157,1799,663,1387
2014-12-04,9676,6289,1838,677,1417
2014-12-05,10293,6690,1955,720,1507
2014-12-06,10173,6612,1932,712,1490
2014-12-07,8902,5786,1691,623,1304
2014-12-08,9116,5925,1732,638,1335
2014-12-09,8784,5709,1668,614,1286
2014-12-10,9132,5935,1735,639,1337
2014-12-11,8601,5590,1634,602,1260
2014-12-12,10964,7126,2083,767,1606
2014-12-13,10582,6878,2010,740,1550
2014-12-14,9095,5911,1728,636,1332
2014-12-15,9402,6111,1786,658,1377
2014-12-16,9691,6299,1841,678,1419
2014-12-17,9806,6373,1863,686,1436
2014-12-18,10064,6541,1912,704,1474
2014-12-19,10598,6888,2013,741,1552
2014-12-20,11212,7287,2130,784,1642
2014-12-21,10177,6615,1933,712,1490
2014-12-22,10047,6530,1908,703,1471
2014-12-23,9521,6188,1808,666,1394
2014-12-24,10266,6672,1950,718,1503
2014-12-25,10701,6955,2033,749,1567
2014-12-26,12956,8421,2461,906,1898
2014-12-27,13338,8669,2534,933,1954
2014-12-28,9603,6241,1824,672,1406
2014-12-29,13470,8755,2559,942,1973
2014-12-30,11524,7490,2189,806,1688
2014-12-31,13028,8468,2475,911,1908
2015-01-01,11579,7526,2200,810,1696
2015-01-02,12527,8142,2380,876,1835
2015-01-03,11166,7257,2121,781,1635
2015-01-04,10433,6781,1982,730,1528
2015-01-05,11900,7735,2261,833,1743
2015-01-06,12160,7904,2310,851,1781
2015-01-07,9254,6015,1758,647,1355
2015-01-08,9933,6456,1887,695,1455
2015-01-09,11833,7691,2248,828,1733
2015-01-10,12714,8264,2415,889,1862
2015-01-11,11404,7412,2166,798,1670
2015-01-12,11064,7191,2102,774,1620
2015-01-13,10961,7124,2082,767,1605
2015-01-14,11298,7343,2146,790,1655
2015-01-15,11043,7177,2098,773,1617
2015-01-16,11857,7707,2252,829,1737
2015-01-17,12480,8112,2371,873,1828
2015-01-18,9575,6223,1819,670,1402
2015-01-19,9917,6446,1884,694,1452
2015-01-20,9293,6040,1765,650,1361
2015-01-21,10847,7050,2060,759,1589
2015-01-22,10416,6770,1979,729,1525
2015-01-23,11770,7650,2236,823,1724
2015-01-24,12050,7832,2289,843,1765
2015-01-25,10530,6844,2000,737,1542
2015-01-26,10144,6593,1927,710,1486
2015-01-27,10886,7075,2068,762,1594
2015-01-28,11177,7265,2123,782,1637
2015-01-29,10697,6953,2032,748,1567
2015-01-30,11853,7704,2252,829,1736
2015-01-31,12461,8099,2367,872,1825
2015-02-01,10925,7101,2075,764,1600
2015-02-02,10811,7027,2054,756,1583
2015-02-03,11751,7638,2232,822,1721
2015-02-04,11750,7637,2232,822,1721
2015-02-05,12231,7950,2323,856,1791
2015-02-06,12508,8130,2376,875,1832
2015-02-07,13121,8528,2492,918,1922
2015-02-08,12630,8209,2399,884,1850
2015-02-09,11739,7630,2230,821,1719
2015-02-10,11995,7796,2279,839,1757
2015-02-11,11881,7722,2257,831,1740
2015-02-12,12015,7809,2282,841,1760
2015-02-13,12882,8373,2447,901,1887
2015-02-14,12920,8398,2454,904,1892
2015-02-15,11131,7235,2114,779,1630
2015-02-16,11304,7347,2147,791,1656
2015-02-17,10812,7027,2054,756,1583
2015-02-18,11210,7286,2129,784,1642
2015-02-19,11597,7538,2203,811,1698
2015-02-20,10679,6941,2029,747,1564
2015-02-21,11531,7495,2190,807,1689
2015-02-22,9932,6455,1887,695,1455
2015-02-23,10453,6794,1986,731,1531
2015-02-24,10350,6727,1966,724,1516
2015-02-25,10935,7107,2077,765,1601
2015-02-26,9999,6499,1899,699,1464
2015-02-27,10825,7036,2056,757,1585
2015-02-28,11747,7635,2231,822,1720
2015-03-01,9086,5905,1726,636,1331
2015-03-02,10626,6906,2018,743,1556
2015-03-03,10542,6852,2002,737,1544
2015-03-04,10518,6836,1998,736,1540
2015-03-05,10249,6661,1947,717,1501
2015-03-06,10042,6527,1907,702,1471
2015-03-07,11034,7172,2096,772,1616
2015-03-08,9610,6246,1825,672,1407
2015-03-09,10432,6780,1982,730,1528
2015-03-10,10449,6791,1985,731,1530
2015-03-11,11097,7213,2108,776,1625
2015-03-12,11052,7183,2099,773,1619
2015-03-13,11274,7328,2142,789,1651
2015-03-14,11410,7416,2167,798,1671
2015-03-15,13831,8990,2627,968,2026
2015-03-16,10058,6537,1911,704,1473
2015-03-17,10305,6698,1957,721,1509
2015-03-18,10367,6738,1969,725,1518
2015-03-19,10517,6836,1998,736,1540
2015-03-20,10943,7112,2079,766,1603
2015-03-21,10855,7055,2062,759,1590
2015-03-22,9520,6188,1808,666,1394
2015-03-23,10379,6746,1972,726,1520
2015-03-24,10739,6980,2040,751,1573
2015-03-25,10495,6821,1994,734,1537
2015-03-26,10771,7001,2046,753,1577
2015-03-27,10974,7133,2085,768,1607
2015-03-28,11097,7213,2108,776,1625
2015-03-29,9586,6230,1821,671,1404
2015-03-30,10418,6771,1979,729,1526
2015-03-31,11905,7738,2261,833,1744
2015-04-01,10436,6783,1982,730,1528
2015-04-02,10830,7039,2057,758,1586
